COUNTRY;SUBBRAND;YEAR;MONTH;SCENARIO;FORECAST;FORECAST_YEAR;AMOUNT
Netherlands;7up Free (L3);2023;5;AI_forecast;AI_P03F;2023;1,22095E+16
Netherlands;Pepsi Max (L3);2024;11;AI_forecast;AI_P10F;2023;8384200290197810,00
Norway;Mountain Dew (L3);2024;11;AI_forecast;AI_P07F;2023;0,00
Spain;Pepsi Regular (L3);2024;9;AI_forecast;AI_P07F;2023;1,36372E+16
Spain;Pepsi Regular (L3);2024;6;AI_forecast;AI_P07F;2023;1,94971E+15
Portugal;Lipton (L3);2023;10;actual;null;;1,20689E+15
Great Britain;Lipton (L3);2023;10;actual;null;;6,42689E+15
Hungary;Pepsi Regular (L3);2023;3;actual;null;;1,04274E+15
Netherlands;7up Free (L3);2023;10;actual;null;;1,32014E+15
Spain;7up Free (L3);2023;10;actual;null;;8,31969E+15
Denmark;Mountain Dew (L3);2024;4;AI_forecast;AI_P08F;2023;4,00599E+16
Great Britain;Pepsi Max (L3);2023;11;AI_forecast;AI_P04F;2023;113349808477896000000000,00
Czech;Mountain Dew (L3);2025;2;AI_forecast;AI_P10F;2023;8,19355E+15
Denmark;Pepsi Max (L3);2025;2;AI_forecast;AI_P10F;2023;3,40296E+16
Czech;Mountain Dew (L3);2023;5;AI_forecast;AI_P05F;2023;7,67176E+15
Portugal;7up (L3);2023;7;AI_forecast;AI_P03F;2023;5,49227E+14
Great Britain;7up Free (L3);2025;1;AI_forecast;AI_P12F;2023;2,61562E+16
Netherlands;Lipton (L3);2024;6;AI_forecast;AI_P05F;2023;2,52758E+16
Denmark;Mountain Dew (L3);2025;2;AI_forecast;AI_P09F;2023;5,78585E+16
Denmark;7up Free (L3);2023;7;AI_forecast;AI_P03F;2023;1,62537E+15
Great Britain;Pepsi Max (L3);2024;10;AI_forecast;AI_P11F;2023;1,0167E+23
Hungary;Mountain Dew (L3);2025;2;AI_forecast;AI_P10F;2023;2,8047E+16
Great Britain;7up Free (L3);2024;2;AI_forecast;AI_PF;2023;9,4023E+15
Netherlands;Pepsi Max (L3);2024;6;AI_forecast;AI_P12F;2023;1,1326E+15
Spain;7up Free (L3);2024;10;AI_forecast;AI_P11F;2023;8,77283E+15
Netherlands;Lipton (L3);2024;4;AI_forecast;AI_P03F;2023;1,45786E+16
Czech;Pepsi Regular (L3);2023;10;AI_forecast;AI_P06F;2023;9,04146E+15
Norway;Pepsi Regular (L3);2024;7;AI_forecast;AI_P07F;2023;4,32855E+16
